  0,00000   0,00000 150,00000
  0,00000   0,00000  33,68653
  0,00000   0,00000  32,61551
  0,00000   0,00000  31,75060
  0,00000   0,00000  24,05742
  0,00000   0,00000  31,37831
  0,00000   0,00000  33,46692
  0,00000   0,00000  29,93614
  0,00000   0,00000  21,14864
  0,00000   0,00000  25,44758
  0,00000   0,00000  33,39845
  0,00000   0,00000  31,49244
  0,00000   0,00000  33,90500
  0,00000   0,00000  32,44577
  0,00000   0,00000  24,38132
  0,00000   0,00000  28,35444
  0,00000   0,00000  34,59150
  0,00000   0,00000  26,45347
  0,00000   0,00000  33,07498
  0,00000   0,00000  34,40085
  0,00000   0,00000  30,27123
  0,00000   0,00000  33,47988
  0,00000   0,00000  29,29852
  0,00000   0,00000  33,86399
  0,00000   0,00000  33,10691
  0,00000   0,00000  38,89335
  0,00000   0,00000  32,07881
  0,00000   0,00000  34,39301
  0,00000   0,00000  33,13884
  0,00000   0,00000  30,05997
  0,00000   0,00000  32,96574
  0,00000   0,00000  30,77577
  0,00000   0,00000  30,95451
  0,00000   0,00000  30,90802
  0,00000   0,00000  24,80472
  0,00000   0,00000  31,50009
  0,00000   0,00000  23,04975
  0,00000   0,00000  35,90483
  0,00000   0,00000  32,36536
  0,00000   0,00000  23,06919
  0,00000   0,00000  26,52550
  0,00000   0,00000  34,49988
  0,00000   0,00000  35,92180
  0,00000   0,00000  30,26934
  0,00000   0,00000  28,42590
  0,00000   0,00000  32,59423
  0,00000   0,00000  32,67691
  0,00000   0,00000  23,85964
  0,00000   0,00000  28,81753
  0,00000   0,00000  33,29617
  0,00000   0,00000  30,24446
  0,00000   0,00000  36,45457
  0,00000   0,00000  33,54905
  0,00000   0,00000  31,58834
  0,00000   0,00000  32,71942
  0,00000   0,00000  32,04276
  0,00000   0,00000  29,90928
  0,00000   0,00000  29,78387
  0,00000   0,00000  32,13763
  0,00000   0,00000  33,02781
  0,00000   0,00000  28,24481
  0,00000   0,00000  30,01381
  0,00000   0,00000  35,06837
  0,00000   0,00000  30,26317
  0,00000   0,00000  22,66953
  0,00000   0,00000  30,32348
  0,00000   0,00000  31,55054
  0,00000   0,00000  33,22566
  0,00000   0,00000  26,18044
  0,00000   0,00000  25,07429
  0,00000   0,00000  32,34358
  0,00000   0,00000  35,78626
  0,00000   0,00000  29,86481
  0,00000   0,00000  35,68473
  0,00000   0,00000  30,77614
  0,00000   0,00000  30,57605
  0,00000   0,00000  32,38545
  0,00000   0,00000  33,95099
  0,00000   0,00000  32,42092
  0,00000   0,00000  23,42516
  0,00000   0,00000  24,05222
  0,00000   0,00000  30,58690
  0,00000   0,00000  29,66986
  0,00000   0,00000  28,66465
  0,00000   0,00000  24,60320
  0,00000   0,00000  28,06147
  0,00000   0,00000  34,56683
  0,00000   0,00000  31,72785
  0,00000   0,00000  35,25631
  0,00000   0,00000  24,33521
  0,00000   0,00000  29,43784
  0,00000   0,00000  35,49689
  0,00000   0,00000  24,78945
  0,00000   0,00000  25,57770
  0,00000   0,00000  30,86712
  0,00000   0,00000  40,73046
  0,00000   0,00000  38,34222
  0,00000   0,00000  29,12529
  0,00000   0,00000  25,17808
  0,00000   0,00000  28,61162
  0,00000   0,00000  35,41689
  0,00000   0,00000  34,79849
  0,00000   0,00000  31,00628
  0,00000   0,00000  28,87963
  0,00000   0,00000  25,93432
  0,00000   0,00000  33,51084
  0,00000   0,00000  36,50677
  0,00000   0,00000  27,44421
  0,00000   0,00000  30,84665
  0,00000   0,00000  25,08055
  0,00000   0,00000  26,75967
  0,00000   0,00000  19,68676
  0,00000   0,00000  30,59023
  0,00000   0,00000  24,66155
  0,00000   0,00000  30,82208
  0,00000   0,00000  31,94693
  0,00000   0,00000  30,14487
  0,00000   0,00000  29,50148
  0,00000   0,00000  36,37984
  0,00000   0,00000  29,68417
  0,00000   0,00000  34,45571
  0,00000   0,00000  27,76557
  0,00000   0,00000  24,80180
  0,00000   0,00000  33,59382
  0,00000   0,00000  31,78664
  0,00000   0,00000  30,63980
  0,00000   0,00000  34,00900
  0,00000   0,00000  31,07351
  0,00000   0,00000  32,63485
  0,00000   0,00000  21,80138
  0,00000   0,00000  23,62206
  0,00000   0,00000  30,15690
  0,00000   0,00000  30,76301
  0,00000   0,00000  33,97938
  0,00000   0,00000  34,33477
  0,00000   0,00000  30,98092
  0,00000   0,00000  31,94467
  0,00000   0,00000  34,64132
  0,00000   0,00000  25,07437
  0,00000   0,00000  33,28248
  0,00000   0,00000  33,39058
  0,00000   0,00000  34,75178
  0,00000   0,00000  34,25149
  0,00000   0,00000  30,05255
  0,00000   0,00000  27,77091
  0,00000   0,00000  29,71099
  0,00000   0,00000  32,37087
  0,00000   0,00000  26,43713
  0,00000   0,00000  38,80790
  0,00000   0,00000  34,96057
  0,00000   0,00000  29,51051
  0,00000   0,00000  31,28412
  0,00000   0,00000  31,31484
  0,00000   0,00000  28,53353
  0,00000   0,00000  29,52957
  0,00000   0,00000  33,05763
  0,00000   0,00000  33,29527
  0,00000   0,00000  33,28007
  0,00000   0,00000  35,05199
  0,00000   0,00000  32,06889
  0,00000   0,00000  24,51129
  0,00000   0,00000  37,48661
  0,00000   0,00000  30,19598
  0,00000   0,00000  20,97452
  0,00000   0,00000  30,38733
  0,00000   0,00000  32,06263
  0,00000   0,00000  33,50132
  0,00000   0,00000  38,93621
  0,00000   0,00000  32,92946
  0,00000   0,00000  41,61439
  0,00000   0,00000  34,05643
  0,00000   0,00000  29,17137
  0,00000   0,00000  23,51169
  0,00000   0,00000  32,11123
  0,00000   0,00000  31,42366
  0,00000   0,00000  28,88602
  0,00000   0,00000  30,88621
  0,00000   0,00000  36,71913
  0,00000   0,00000  34,04572
  0,00000   0,00000  26,98906
  0,00000   0,00000  32,80626
  0,00000   0,00000  24,66050
  0,00000   0,00000  30,75181
  0,00000   0,00000  34,38391
  0,00000   0,00000  29,58945
  0,00000   0,00000  32,30764
  0,00000   0,00000  28,53824
  0,00000   0,00000  28,09720
  0,00000   0,00000  31,38058
  0,00000   0,00000  33,97427
  0,00000   0,00000  35,67347
  0,00000   0,00000  37,58930
  0,00000   0,00000  30,83782
  0,00000   0,00000  26,37150
  0,00000   0,00000  32,34011
  0,00000   0,00000  23,93615
  0,00000   0,00000  25,88325
  0,00000   0,00000  29,37596
  0,00000   0,00000  25,34685
  0,00000   0,00000  30,72497
  0,00000   0,00000  33,71037
  0,00000   0,00000  35,84863
  0,00000   0,00000  32,35070
  0,00000   0,00000  41,04425
  0,00000   0,00000  28,07848
  0,00000   0,00000  29,28663
  0,00000   0,00000  30,00316
  0,00000   0,00000  35,47998
  0,00000   0,00000  24,06260
  0,00000   0,00000  30,28484
  0,00000   0,00000  26,01343
  0,00000   0,00000  32,00006
  0,00000   0,00000  35,98436
  0,00000   0,00000  34,36012
  0,00000   0,00000  34,09235
  0,00000   0,00000  25,19090
  0,00000   0,00000  34,92881
  0,00000   0,00000  33,62181
  0,00000   0,00000  28,48464
  0,00000   0,00000  25,41132
  0,00000   0,00000  30,55107
  0,00000   0,00000  27,22937
  0,00000   0,00000  40,97831
  0,00000   0,00000  24,40312
  0,00000   0,00000  34,98017
  0,00000   0,00000  33,22287
  0,00000   0,00000  26,13993
  0,00000   0,00000  22,98792
  0,00000   0,00000  32,28009
  0,00000   0,00000  42,09288
  0,00000   0,00000  35,79586
  0,00000   0,00000  27,40958
  0,00000   0,00000  35,31978
  0,00000   0,00000  33,69153
  0,00000   0,00000  31,54740
  0,00000   0,00000  30,77503
  0,00000   0,00000  30,55773
  0,00000   0,00000  32,68041
  0,00000   0,00000  25,27036
  0,00000   0,00000  31,52873
  0,00000   0,00000  34,60075
  0,00000   0,00000  31,99044
  0,00000   0,00000  34,19236
  0,00000   0,00000  29,00316
  0,00000   0,00000  32,49886
